"trialnumber","trlid","blocknumber","arraytiltcond","probetiltcond","stim1cond","stim2cond","trialDifficultyChange","trialdifficulty","difficultyOri","stim1ori","addToStim1","stim2ori","correctResp","delay1","delay2","ITI","stim1trig","stim2trig","respcuetrig","buttonpresstrig","fbtrig","rt","resptime","PerceptDecCorrect","trlResponded","buttonResponded","buttontrig","subid","fbgiven","prevtrlfb","rewarded","unrewarded"
31,159,3,1,0,1,-1,0,3,12,58,0,58,"d",6.98,0.56,4.15,10,11,31,-100,60,0.877305110323505,0.960441180788621,1,1,"d",40,3,"correct","correct",1,0
32,160,3,0,0,-1,-1,0,3,12,-37,0,-37,"d",5.05,0.64,3.81,1,2,22,-100,60,0.0905736621789401,0.220051277417951,1,1,"d",40,3,"correct","correct",1,0
33,161,3,1,1,1,1,0,3,12,45,12,57,"k",4.98,0.46,3.18,10,12,32,-100,60,0.220857244596118,0.290043839257123,1,1,"k",50,3,"correct","correct",1,0
34,162,3,1,0,1,-1,0,3,12,44,0,44,"d",6.99,0.48,4.92,10,11,31,-100,60,0.253393572278583,0.350110774161294,1,1,"d",40,3,"correct","correct",1,0
35,163,3,0,0,-1,-1,0,3,12,-60,0,-60,"d",5.76,0.47,4.91,1,2,22,-100,60,0.228388347884902,0.310104923981271,1,1,"d",40,3,"correct","correct",1,0
36,164,3,0,1,-1,1,0,3,12,-36,12,-24,"k",4.83,0.52,4.09,1,3,23,-100,60,0.279931474255136,0.360132763635193,1,1,"k",50,3,"correct","correct",1,0
37,165,3,1,1,1,1,0,3,12,57,12,69,"k",5.82,0.47,4.14,10,12,32,-100,60,0.2773225582132,0.410156041747541,1,1,"k",50,3,"correct","correct",1,0
38,166,3,1,1,1,1,0,3,12,53,12,65,"k",5.02,0.57,3.26,10,12,32,-100,60,0.413441206161224,0.500172055606527,1,1,"k",50,3,"correct","correct",1,0
39,167,3,0,1,-1,1,0,3,12,-46,12,-34,"k",4.34,0.54,4.6,1,3,23,-100,60,0.177209574558219,0.260105879056937,1,1,"k",50,3,"correct","correct",1,0
40,168,3,1,0,1,-1,0,3,12,33,0,33,"d",5.16,0.64,4.26,10,11,31,-100,61,0.240478425766923,0.33008874762163,0,1,"k",50,3,"incorrect","correct",0,1
