,trialnumber,trlid,blocknumber,arraytiltcond,probetiltcond,stim1cond,stim2cond,trialDifficultyChange,trialdifficulty,difficultyOri,stim1ori,addToStim1,stim2ori,correctResp,delay1,delay2,ITI,stim1trig,stim2trig,respcuetrig,buttonpresstrig,fbtrig,rt,resptime,PerceptDecCorrect,trlResponded,buttonResponded,buttontrig,subid,fbgiven,prevtrlfb,rewarded,unrewarded
1168,64,192,3,1,0,1,-1,0,0,2,56,0,56,d,5.27,0.53,3.92,10,11,31,-100,60,0.2837370696,0.3501165635,1,1,d,40.0,14,correct,correct,1,0
1174,1,193,4,0,1,-1,1,0,0,2,-49,2,-47,k,5.97,0.55,4.86,1,3,23,-100,60,0.2969093057,0.3700975815,1,1,k,50.0,14,correct,correct,1,0
1180,2,194,4,0,0,-1,-1,0,0,2,-36,0,-36,d,6.41,0.65,3.61,1,2,22,-100,61,0.5620529438,0.6302194508,0,1,k,50.0,14,incorrect,correct,0,1
1186,3,195,4,1,1,1,1,0,0,2,34,2,36,k,5.39,0.61,4.42,10,12,32,-100,60,0.2413080548,0.3101502511,1,1,k,50.0,14,correct,incorrect,1,0
1192,4,196,4,1,0,1,-1,0,0,2,55,0,55,d,6.08,0.61,4.32,10,11,31,-100,61,0.3003499044,0.3400753066,0,1,k,50.0,14,incorrect,correct,0,1
1198,5,197,4,1,1,1,1,0,0,2,54,2,56,k,4.31,0.59,4.23,10,12,32,-100,60,0.4500789587,0.5402082207,1,1,k,50.0,14,correct,incorrect,1,0
1204,6,198,4,1,1,1,1,0,0,2,36,2,38,k,4.35,0.69,4.15,10,12,32,-100,62,,,-1,0,,,14,timed out,correct,0,0
1209,7,199,4,1,1,1,1,0,0,2,51,2,53,k,6.5,0.42,4.66,10,12,32,-100,60,0.3942145596,0.4601612702,1,1,k,50.0,14,correct,timed out,1,0
1215,8,200,4,0,0,-1,-1,0,0,2,-34,0,-34,d,5.95,0.69,3.03,1,2,22,-100,61,0.3056505021,0.3701511805,0,1,k,50.0,14,incorrect,correct,0,1
1221,9,201,4,1,0,1,-1,0,0,2,37,0,37,d,5.81,0.45,3.28,10,11,31,-100,60,0.3574750202,0.4301575269,1,1,d,40.0,14,correct,incorrect,1,0
1227,10,202,4,0,0,-1,-1,0,0,2,-57,0,-57,d,6.15,0.69,3.61,1,2,22,-100,61,0.1105302337,0.2000231502,0,1,k,50.0,14,incorrect,correct,0,1
1233,11,203,4,0,0,-1,-1,0,0,2,-33,0,-33,d,4.55,0.59,3.74,1,2,22,-100,61,0.288853492,0.3400790129,0,1,k,50.0,14,incorrect,incorrect,0,1
1239,12,204,4,0,1,-1,1,0,0,2,-43,2,-41,k,4.52,0.48,4.33,1,3,23,-100,61,0.5048465743,0.5601826813,0,1,d,40.0,14,incorrect,incorrect,0,1
1245,13,205,4,1,0,1,-1,1,3,12,37,0,37,d,4.33,0.41,4.78,10,11,31,-100,61,0.4084630519,0.4801696579,0,1,k,50.0,14,incorrect,incorrect,0,1
1251,14,206,4,0,1,-1,1,0,3,12,-40,12,-28,k,6.41,0.45,4.54,1,3,23,-100,60,0.6009732207,0.6902982128,1,1,k,50.0,14,correct,incorrect,1,0
1257,15,207,4,1,1,1,1,0,3,12,41,12,53,k,5.18,0.49,4.16,10,12,32,-100,60,0.0524813907,0.1199801912,1,1,k,50.0,14,correct,correct,1,0
1263,16,208,4,0,1,-1,1,0,3,12,-51,12,-39,k,6.21,0.42,4.19,1,3,23,-100,60,0.3537179593,0.420122257,1,1,k,50.0,14,correct,correct,1,0
1269,17,209,4,0,1,-1,1,0,3,12,-57,12,-45,k,6.72,0.47,4.19,1,3,23,-100,60,0.2745499752,0.3400966892,1,1,k,50.0,14,correct,correct,1,0
1275,18,210,4,1,0,1,-1,0,3,12,35,0,35,d,6.18,0.46,4.46,10,11,31,-100,61,0.4113075045,0.4801095016,0,1,k,50.0,14,incorrect,correct,0,1
1281,19,211,4,1,1,1,1,0,3,12,56,12,68,k,6.0,0.62,3.25,10,12,32,-100,60,0.2787335472,0.3200854505,1,1,k,50.0,14,correct,incorrect,1,0
1287,20,212,4,0,0,-1,-1,0,3,12,-44,0,-44,d,5.1,0.67,3.49,1,2,22,-100,61,0.3988488762,0.4501442468,0,1,k,50.0,14,incorrect,correct,0,1
1293,21,213,4,0,1,-1,1,0,3,12,-52,12,-40,k,4.29,0.67,4.4,1,3,23,-100,60,0.0604753375,0.1099888269,1,1,k,50.0,14,correct,incorrect,1,0
1299,22,214,4,0,1,-1,1,0,3,12,-58,12,-46,k,4.34,0.45,3.98,1,3,23,-100,60,0.5669318771,0.6002085799,1,1,k,50.0,14,correct,correct,1,0
1305,23,215,4,1,1,1,1,0,3,12,43,12,55,k,5.7,0.44,3.78,10,12,32,-100,60,0.3760456435,0.4500256448,1,1,k,50.0,14,correct,correct,1,0
1311,24,216,4,1,0,1,-1,0,3,12,31,0,31,d,4.04,0.66,3.54,10,11,31,-100,61,0.8006781982,0.8503470677,0,1,k,50.0,14,incorrect,correct,0,1
1317,25,217,4,1,0,1,-1,0,3,12,40,0,40,d,5.25,0.5,3.91,10,11,31,-100,61,0.028156574,0.1099648784,0,1,k,50.0,14,incorrect,incorrect,0,1
1329,27,219,4,0,1,-1,1,0,1,4,-41,4,-37,k,6.74,0.4,3.63,1,3,23,-100,60,0.3027421869,0.3700502548,1,1,k,50.0,14,correct,incorrect,1,0
1341,29,221,4,1,1,1,1,0,1,4,43,4,47,k,6.13,0.41,3.26,10,12,32,-100,61,0.5205790173,0.6402758181,0,1,d,40.0,14,incorrect,incorrect,0,1
